notice,name,inst_type,entity,permco,dt_start,dt_end,PERMNO,date,TICKER,COMNAM
,"NARA BANCORP, INC.",Bank Holding Company,2961879,15933,20010202,20210930,85741,2022-12-30,HOPE,HOPE BANCORP INC
,NORWOOD FINANCIAL CORP.,Bank Holding Company,2365356,15993,19980331,20210930,85883,2022-12-30,NWFL,NORWOOD FINANCIAL CORP
,"BROOKLINE BANCORP, INC.",Bank Holding Company,2631510,16026,19980331,20210930,85860,2022-12-30,BRKL,BROOKLINE BANCORP INC
,UMPQUA HOLDINGS CORPORATION,Bank Holding Company,2747644,16035,19990313,20210930,86004,2022-12-30,UMPQ,UMPQUA HOLDINGS CORP
,"COLONY BANKCORP, INC.",Bank Holding Company,1085170,16037,19980430,20210930,85966,2022-12-30,CBAN,COLONY BANKCORP INC
,"SOUTHSIDE BANCSHARES, INCORPORATED",Bank Holding Company,1245068,16107,19980529,20210930,86091,2022-12-30,SBSI,SOUTHSIDE BANCSHARES INC
,"REPUBLIC BANCORP, INC.",Bank Holding Company,1097025,16222,19980731,20210930,86287,2022-12-30,RBCAA,REPUBLIC BANCORP INC KY
,FIRST BUSEY CORPORATION,Bank Holding Company,1203602,16290,19981030,20210930,86382,2022-12-30,BUSE,FIRST BUSEY CORP
,CNB FINANCIAL CORPORATION,Bank Holding Company,1118340,16300,19981030,20210930,86384,2022-12-30,CCNE,C N B FINANCIAL CORP PA
,"PROSPERITY BANCSHARES, INC.",Bank Holding Company,1109599,16313,19981130,20210930,86432,2022-12-30,PB,PROSPERITY BANCSHARES INC
,CENTRAL FEDERAL CORP,Thrift holding company,3828577,16365,19981231,20210930,86526,2022-12-30,CFBK,C F BANKSHARES INC
,FIRST CAPITAL INC,Thrift holding company,2867458,16367,19990129,20210930,86573,2022-12-30,FCAP,FIRST CAPITAL INC
,"EAST WEST BANCORP, INC.",Bank Holding Company,2734233,16402,19990226,20210930,86719,2022-12-30,EWBC,EAST WEST BANCORP INC
,"CAPITOL FEDERAL FINANCIAL, INC.",Thrift holding company,4226910,16457,20101222,20210930,86820,2022-12-30,CFFN,CAPITOL FEDERAL FINANCIAL INC
,AMERICAN NATIONAL BANKSHARES INC.,Bank Holding Company,1076691,16487,19990430,20210930,86814,2022-12-30,AMNB,AMERICAN NATIONAL BANKSHARES INC
,SIERRA BANCORP,Bank Holding Company,2976396,16578,20010810,20210930,87014,2022-12-30,BSRR,SIERRA BANCORP
,"FINANCIAL INSTITUTIONS, INC.",Bank Holding Company,1032464,16609,19990630,20210930,86965,2022-12-30,FISI,FINANCIAL INSTITUTIONS INC
,"GREENE COUNTY BANCORP, INC",Commercial Bank,2728607,16640,19990730,20210930,87069,2022-12-30,GCBC,GREENE COUNTY BANCORP INC
,"FIRST BANCORP, INC., THE",Bank Holding Company,1133932,16649,19990730,20210930,87067,2022-12-30,FNLC,FIRST BANCORP INC ME
,"EAGLE BANCORP, INC.",Bank Holding Company,2652104,17183,19991029,20210930,87318,2022-12-30,EGBN,EAGLE BANCORP INC
,"NATIONAL BANKSHARES, INC.",Bank Holding Company,1139925,17469,19991231,20210930,87505,2022-12-30,NKSH,"NATIONAL BANKSHARES INC"
,MACATAWA BANK CORPORATION,Bank Holding Company,2634696,17665,19991231,20210930,87501,2022-12-30,MCBC,MACATAWA BANK CORP
,BANK OF MARIN BANCORP,Bank Holding Company,3590388,17669,20070702,20210930,87476,2022-12-30,BMRC,BANK OF MARIN BANCORP
,"LAKELAND BANCORP, INC.",Bank Holding Company,1404799,18304,20000229,20210930,87614,2022-12-30,LBAI,LAKELAND BANCORP INC
,"BANK OF NEW YORK MELLON CORPORATION, THE",Bank Holding Company,3587146,20265,20070701,20210930,49656,2022-12-30,BK,BANK OF NEW YORK MELLON CORP
,JPMORGAN CHASE & CO.,Bank Holding Company,1039502,20436,19860630,20210930,47896,2022-12-30,JPM,JPMORGAN CHASE & CO
,CITIGROUP INC.,Bank Holding Company,1951350,20483,19881215,20210930,70519,2022-12-30,C,CITIGROUP INC
,MORGAN STANLEY,Bank Holding Company,2162966,21224,19930602,20210930,69032,2022-12-30,MS,MORGAN STANLEY DEAN WITTER & CO
,WELLS FARGO & COMPANY,Bank Holding Company,1120754,21305,19860630,20210930,38703,2022-12-30,WFC,WELLS FARGO & CO NEW
,"CHARLES SCHWAB CORPORATION, THE",Bank Holding Company,1026632,21578,19870930,20210930,75186,2022-12-30,SCHW,SCHWAB CHARLES CORP NEW
,"NORTHRIM BANCORP, INC.",Bank Holding Company,3025385,28947,20020101,20210930,76529,2022-12-30,NRIM,NORTHRIM BANCORP INC
,FIRST COMMONWEALTH FINANCIAL CORPORATION,Bank Holding Company,1071306,29505,19920630,20210930,77643,2022-12-30,FCF,FIRST COMMONWEALTH FINANCIAL COR
,CAPITAL ONE FINANCIAL CORPORATION,Bank Holding Company,2277860,30513,19941130,20210930,81055,2022-12-30,COF,CAPITAL ONE FINANCIAL CORP
