notice,name,inst_type,entity,permco,dt_start,dt_end,PERMNO,date,TICKER,COMNAM
,"NATIONAL BANK HOLDINGS CORPORATION",Bank holding company,3973888,54180,20120928,20210930,13579,2022-12-30,NBHC,"NATIONAL BANK HOLDINGS CORP"
,CHEMUNG FINANCIAL CORP,Bank Holding Company,1133594,54270,20121130,20210930,13694,2022-12-30,CHMG,CHEMUNG FINANCIAL CORP
,FIRST INTERNET BANCORP,Bank Holding Company,3393178,54332,20130228,20210930,13797,2022-12-30,INBK,FIRST INTERNET BANCORP
,INDEPENDENT BK GRP INC,Bank Holding Company,3140288,54377,20130430,20210930,13877,2022-12-30,IBTX,INDEPENDENT BANK GROUP INC
,CUSTOMERS BANCORP INC,Bank Holding Company,4284536,54408,20130531,20210930,13921,2022-12-30,CUBI,CUSTOMERS BANCORP INC
,COMMUNITY FINANCIAL CP (THE),Bank Holding Company,2523389,54567,20130930,20210930,14175,2022-12-30,TCFC,COMMUNITY FINANCIAL CORP MD
,FIRST BANK,Commercial Bank,3401970,54651,20131115,20210930,14310,2022-12-30,FRBA,FIRST BANK
,PEOPLES FINANCIAL SERVICES,Bank Holding Company,1139541,54827,20140430,20210930,14604,2022-12-30,PFIS,PEOPLES FINANCIAL SERVICES CORP
,BANKWELL FINANCIAL GROUP INC,Bank Holding Company,3553815,54858,20140530,20210930,14650,2022-12-30,BWFG,BANKWELL FINANCIAL GROUP INC
,FIRST MID ILL BANCSHARES INC,Bank Holding Company,1206760,54861,20140530,20210930,14653,2022-12-30,FMBH,FIRST MID BANCSHARES INC
,SERVISFIRST BANCSHARES INC,Bank Holding Company,3635319,54870,20140530,20210930,14670,2022-12-30,SFBS,SERVISFIRST BANCSHARES INC
,SYNCHRONY FINANCIAL,Thrift holding company,4504654,54936,20140731,20210930,14776,2022-12-30,SYF,SYNCHRONY FINANCIAL
,INVESTAR HOLDING CORP,Bank Holding Company,4090054,54959,20140731,20210930,14810,2022-12-30,ISTR,INVESTAR HOLDING CORP
,CITIZENS FINANCIAL GROUP INC,Bank Holding Company,1132449,55006,20140930,20210930,14889,2022-12-30,CFG,CITIZENS FINANCIAL GROUP INC
,MIDDLEFIELD BANC CORP,Bank Holding Company,1398740,55027,20140930,20210930,14932,2022-12-30,MBCN,MIDDLEFIELD BANC CORP
,CB FINANCIAL SERVICES INC,Bank Holding Company,3333718,55036,20141128,20210930,14943,2022-12-30,CBFV,C B FINANCIAL SERVICES INC
,VERITEX HOLDINGS INC,Bank Holding Company,4105266,55085,20141031,20210930,15022,2022-12-30,VBTX,VERITEX HOLDINGS INC
,FIRST FOUNDATION INC,Bank Holding Company,3842658,55109,20141128,20210930,15064,2022-12-30,FFWM,FIRST FOUNDATION INC
,TRIUMPH BANCORP INC,Bank Holding Company,3233126,55123,20141128,20210930,15084,2022-12-30,TFIN,TRIUMPH FINANCIAL INC
,FIRST NORTHWEST BANCORP,Bank Holding Company,4438366,55170,20150130,20210930,15178,2022-12-30,FNWB,FIRST NORTHWEST BANCORP
,LIVE OAK BANCSHARES INC,Bank Holding Company,3884863,55361,20150731,20210930,15527,2022-12-30,LOB,LIVE OAK BANCSHARES INC
,EQUITY BANCSHARES INC,Bank Holding Company,3180547,55480,20151130,20210930,15838,2022-12-30,EQBK,EQUITY BANCSHARES INC
,FIRST GUARANTY BANCSHARES,Bank Holding Company,3589560,55481,20151130,20210930,15840,2022-12-30,FGBI,FIRST GUARANTY BANCSHARES INC
,SMARTFINANCIAL INC,Bank Holding Company,1131497,55508,20151231,20210930,15906,2022-12-30,SMBK,SMARTFINANCIAL INC
,NICOLET BANKSHARES INC,Bank Holding Company,3103603,55525,20160229,20210930,15948,2022-12-30,NIC,NICOLET BANKSHARES INC
,MIDLAND STATES BANCORP,Bank Holding Company,1491351,55567,20160531,20210930,16063,2022-12-30,MSBI,MIDLAND STATES BANCORP INC
,"FIRST HAWAIIAN, INC.",Bank Holding Company,1025608,55670,20160804,20210930,16253,2022-12-30,FHB,FIRST HAWAIIAN INC
,CAPSTAR FINANCIAL HLDGS INC,Bank Holding Company,4933272,55691,20160930,20210930,16285,2022-12-30,CSTR,CAPSTAR FINANCIAL HOLDINGS INC
,FB FINANCIAL CORP,Bank Holding Company,1132104,55705,20160930,20210930,16319,2022-12-30,FBK,F B FINANCIAL CORP
,PCSB FINANCIAL CORP,Bank Holding Company,5079476,55919,20170428,20210930,16676,2022-12-30,PCSB,PCSB FINANCIAL CORP
,FARMERS & MERCHANTS BCP/OH,Bank Holding Company,1134630,55935,20170531,20210930,16703,2022-12-30,FMAO,FARMERS & MERCHANTS BANCORP INC
,BYLINE BANCORP INC,Bank Holding Company,1204627,55968,20170630,20210930,16756,2022-12-30,BY,BYLINE BANCORP INC
,ESQUIRE FINCL HOLD INC,,3447820,55987,20170630,20210930,16784,2022-12-30,ESQ,ESQUIRE FINANCIAL HOLDINGS
,RBB BANCORP,Bank Holding Company,4176855,56013,20170731,20210930,16828,2022-12-30,RBB,R B B BANCORP
,BANK OF PRINCETON,Commercial Bank,3595271,56029,20170831,20210930,16853,2022-12-30,BPRN,BANK OF PRINCETON
,CAMBRIDGE BANCORP,Bank Holding Company,1115013,56091,20171031,20210930,16976,2022-12-30,CATC,CAMBRIDGE BANCORP
,FIDELITY D & D BANCORP INC,Bank Holding Company,2858773,56094,20171031,20210930,16982,2022-12-30,FDBC,FIDELITY D & D BANCORP INC
,MERCHANTS BANCORP,Bank Holding Company,3530786,56101,20171031,20210930,16991,2022-12-30,MBIN,MERCHANTS BANCORP
,CBTX INC,Bank Holding Company,3594872,56153,20171130,20210930,17108,2022-12-30,STEL,STELLAR BANCORP INC
,MERIDIAN CORP,Commercial Bank,3271799,56158,20171130,20210930,17117,2022-12-30,MRBK,MERIDIAN CORP
,STERLING BANCORP INC,Thrift holding company,3852031,56160,20171130,20210930,17121,2022-12-30,SBT,STERLING BANCORP INC
,LUTHER BURBANK CORP,Bank Holding Company,3814208,56176,20171229,20210930,17148,2022-12-30,LBC,LUTHER BURBANK CORP
,MVB FINANCIAL CORP,Bank Holding Company,3211601,56179,20171229,20210930,17151,2022-12-30,MVBF,M V B FINANCIAL CORP
,BRIDGEWATER BANCSHARES,Bank Holding Company,3378764,56293,20180329,20210930,17350,2022-12-30,BWB,BRIDGEWATER BANCSHARES INC
,FNCB BANCORP INC,Bank Holding Company,2560263,56297,20180328,20210930,17359,2022-12-30,FNCB,FNCB BANCORP INC
,OP BANCORP,Commercial Bank,3357219,56301,20180328,20210930,17368,2022-12-30,OPBK,O P BANCORP
,BUSINESS FIRST BANCSHS INC,Bank Holding Company,3488850,56331,20180430,20210930,17679,2022-12-30,BFST,BUSINESS FIRST BANCSHARES INC
,COLUMBIA FINANCIAL INC,Thrift holding company,2571120,56334,20180430,20210930,17683,2022-12-30,CLBK,COLUMBIA FINANCIAL INC
,BAYCOM CORP,,3281510,56364,20180531,20210930,17800,2022-12-30,BCML,BAYCOM CORP
,ORIGIN BANCORP,Bank Holding Company,1885307,56376,20180531,20210930,17818,2022-12-30,OBNK,ORIGIN BANCORP INC
,COASTAL FINANCIAL CORP,Bank Holding Company,3203008,56451,20180731,20210930,17957,2022-12-30,CCB,COASTAL FINANCIAL CORP
,FIRST WSTRN FINNCIL INC,Bank Holding Company,3189906,56459,20180731,20210930,17970,2022-12-30,MYFW,FIRST WESTERN FINANCIAL INC
,AMALGAMATED BK NEW YORK N Y,Bank Holding Company,4400336,56481,20180831,20210930,18043,2022-12-30,AMAL,AMALGAMATED FINANCIAL CORP
,AMERANT BANCORP INC,Bank Holding Company,1135972,56487,20180831,20210930,18049,2022-12-30,AMTB,AMERANT BANCORP INC
,PACIFIC CITY FINANCIAL CORP,Bank Holding Company,3595084,56488,20180831,20210930,18052,2022-12-30,PCB,P C B BANCORP
,BANK7 CORP,Bank Holding Company,3256134,56516,20180928,20210930,18106,2022-12-30,BSVN,BANK7 CORP
,CAPITAL BANCORP INC,Bank Holding Company,2808590,56518,20180928,20210930,18108,2022-12-30,CBNK,CAPITAL BANCORP INC
,FVCBANKCORP INC,,3614976,56521,20180928,20210930,18115,2022-12-30,FVCB,FVCBANKCORP INC
,BANK FIRST NATIONAL CORP,Bank Holding Company,1208009,56557,20181031,20210930,18191,2022-12-30,BFC,BANK FIRST CORP
,CARTER BANKSHARES INC,Non Member Bank,3476192,56685,20190329,20210930,18459,2022-12-30,CARE,CARTER BANKSHARES INC
,FIRST NATIONAL CORP/VA,Bank Holding Company,1076123,56701,20190430,20210930,18554,2022-12-30,FXNC,FIRST NATIONAL CORP VA
,MAINSTREET BANCSHARES INC,Bank Holding Company,4977397,56705,20190430,20210930,18560,2022-12-30,MNSB,MAINSTREET BANCSHARES INC
,FRANKLIN FINANCIAL SVCS CORP,Bank Holding Company,1118238,56739,20190531,20210930,18652,2022-12-30,FRAF,FRANKLIN FINANCIAL SERVICES CORP
,RED RIVER BANCSHARES INC,Bank Holding Company,2743235,56751,20190531,20210930,18668,2022-12-30,RRBI,RED RIVER BANCSHARES INC
,SOUTH PLAINS FINANCIAL INC,Bank Holding Company,2033226,56754,20190531,20210930,18671,2022-12-30,SPFI,SOUTH PLAINS FINANCIAL INC
,FIRST SEACOAST BANCORP (NASDAQCM:FSEA),Thirft Holding Company,5371479,56827,20190716,20210930,18837,2022-12-30,FSEA,FIRST SEACOAST BANCORP
,"PIONEER BANCORP, INC. (NASDAQCM:PBFS)",Bank Holding Company,5374461,56833,20190717,20210930,18847,2022-12-30,PBFS,PIONEER BANCORP INC
,"RICHMOND MUTUAL BANCORPORATION, INC. (NASDAQCM:RMBI)",Bank Holding Company,5371947,56834,20190701,20210930,18851,2022-12-30,RMBI,RICHMOND MUTUAL BANCORP INC
,"CROSSFIRST BANKSHARES, INC. (NASDAQGS:CFB)",Bank Holding Company,3903661,56860,20190814,20210930,18895,2022-12-30,CFB,CROSSFIRST BANKSHARES INC
,ALERUS FINANCIAL CORP,Bank Holding Company,2067007,56887,20190930,20210930,18941,2022-12-30,ALRS,ALERUS FINANCIAL CORP
,"HBT FINANCIAL, INC. (NASDAQGS:HBT)",Bank Holding Company,1208120,56912,20191010,20210930,19012,2022-12-30,HBT,H B T FINANCIAL INC
,"METROCITY BANKSHARES, INC. (NASDAQGS:MCBS)",Bank Holding Company,4750086,56915,20191002,20210930,19015,2022-12-30,MCBS,METROCITY BANKSHARES INC
,SILVERGATE CAPITAL CORPORATION (NYSE:SI),Bank Holding Company,3695667,56932,20191106,20210930,19058,2022-12-30,SI,SILVERGATE CAP CORP
,BOGOTA FINANCIAL CORP. (NASDAQCM:BSBK),Bank Holding Company,5423510,56998,20200114,20210930,19185,2022-12-30,BSBK,BOGOTA FINANCIAL CORP
,PROFESSIONAL HOLDING CORP. (NASDAQGS:PFHD),Bank Holding Company,4647494,57031,20200206,20210930,19252,2022-12-30,PFHD,PROFESSIONAL HOLDING CORP
