notice,name,inst_type,entity,permco,dt_start,dt_end
"The PERMCOs displayed herein are used with the permission of the Center for Research in Security Prices (CRSP®), Graduate School of Business, The University of Chicago. PERMCO® is a registered trademark of The University of Chicago.",,,,,,
"The University of Chicago and CRSP make no warranty of any kind, express or implied, with respect to the validity, merchantability, fitness, condition, use or appropriateness of the PERMCOs or the links to the PERMCOs displayed herein.",,,,,,
,WATERSTONE FINANCIAL INC,Thrift holding company,4523431,47887,20140123,20210930
,BANK OF VIRGINIA,Commercial Bank,3198421,48767,20051130,20131231
,CORDIA BANCORP INC,Bank Holding Company,4129002,48767,20140101,20160831
,"FIRST NATIONAL BANCSHARES, INC.",Bank Holding Company,2859565,48772,20051101,20100707
,"BCB BANCORP, INC.",Bank Holding Company,3170539,49991,20051230,20210930
,CAPITALSOUTH BANCORP,Bank Holding Company,1925968,49992,20051213,20090319
,CAROLINA NATIONAL CORPORATION,Bank Holding Company,3109436,49993,20051215,20080201
,"NEW ENGLAND BANCSHARES, INC.",Bank Holding Company,3137970,50001,20070712,20120930
,"CONNECTICUT BANK & TRUST COMPANY, THE",Commercial Bank,3251081,50196,20060127,20120430
,"MAGYAR BANCORP, MHC",Bank Holding Company,3382855,50202,20060131,20210714
,AMERICASBANK CORP,Bank Holding Company,2826781,50483,20060313,20080711
,UNITED COMMUNITY BANCORP,Thrift holding company,3848454,50495,20060331,20130108
,UNITED COMMUNITY BANCORP,Thrift holding company,4460479,50495,20130109,20180914
,COMMUNITY PARTNERS BANCORP,Bank Holding Company,3395668,50590,20060428,20191231
,LAKE SHORE BANCORP INC,Thrift holding company,3464313,50594,20060428,20210930
,VALLEY FINANCIAL CORPORATION,Bank Holding Company,2314327,50602,20060428,20150630
,BAY NATIONAL CORPORATION,Bank Holding Company,2887652,50724,20060515,20100604
,COMMUNITY VALLEY BANCORP,Bank Holding Company,3108091,50730,20060501,20090925
,"FIRST BANCSHARES, INC., THE",Bank Holding Company,2385493,50731,20060531,20210930
,BEVERLY NATIONAL CORPORATION,Bank Holding Company,1115433,50828,20060619,20091030
,COMMUNITY BANKERS TRUST CORPORATION,Bank Holding Company,3687046,50830,20080601,20210930
,"HOME BANCSHARES, INC.",Bank Holding Company,1491409,50861,20060630,20210930
,"NEW CENTURY BANCORP, INC.",Bank Holding Company,3207659,50865,20060630,20210930
,"TENNESSEE COMMERCE BANCORP, INC.",Bank Holding Company,2916169,50872,20060609,20110930
,"CHICOPEE BANCORP, INC.",Bank Holding Company,3434633,50970,20060731,20161021
,"CIVITAS BANKGROUP, INC.",Bank Holding Company,1493832,50972,20060718,20070518
,FIRST CLOVER LEAF FINANCIAL CORP,Thrift holding company,3438284,50973,20060731,20160908
,NORTHEAST COMMUNITY BANCORP INC,Thrift holding company,3435742,50976,20060731,20151231
,NEWPORT BANCORP INC,Thrift holding company,3644160,50977,20060731,20130906
,ROMA FINANCIAL CORP,Thrift holding company,3464322,50978,20060731,20131206
,SUMMIT STATE BANK,Commercial Bank,561574,50979,20060731,20210930
,COMMUNITY NATIONAL BANK OF THE LAKEWAY AREA,Commercial Bank,3183584,51108,20060816,20081218
,"HAMPTON ROADS BANKSHARES, INC.",Bank Holding Company,3012554,51109,20060831,20171229
